    Finished `release` profile [optimized] target(s) in 0.04s
     Running `target/release/train_dmc --num-envs 256 --steps 20000000 --batch-size 1024 --train-freq 4 --eval-freq 1000000 --eval-random-matches 100 --eval-naive-matches 0 --eval-smart-matches 0 --save-freq 500000 --pool-frac 0`
Device: CUDA
Envs: 256, Steps: 20000000, LR: 0.0003, Hidden: 1024
Training: batch=1024, freq=4
PER: alpha=0.6, beta=0.4->1
Opponents: 90% self, 0% pool, 10% random

      Step |   Eps |  Beta |  Buffer |     Loss | Episodes | Steps/s
   1260000 | 0.212 | 0.438 | 2000000 |   0.0360 |  8677484 |     428
   1270000 | 0.212 | 0.438 | 2000000 |   0.0358 |  8746355 |     422
   1280000 | 0.212 | 0.438 | 2000000 |   0.0355 |  8815231 |     431
   1290000 | 0.211 | 0.439 | 2000000 |   0.0356 |  8884103 |     428
   1300000 | 0.211 | 0.439 | 2000000 |   0.0355 |  8952982 |     423
   1310000 | 0.211 | 0.439 | 2000000 |   0.0357 |  9021847 |     409
   1320000 | 0.210 | 0.440 | 2000000 |   0.0358 |  9090723 |     438
   1330000 | 0.210 | 0.440 | 2000000 |   0.0358 |  9159602 |     436
   1340000 | 0.210 | 0.440 | 2000000 |   0.0356 |  9228469 |     427
   1350000 | 0.210 | 0.440 | 2000000 |   0.0356 |  9297345 |     427
   1360000 | 0.209 | 0.441 | 2000000 |   0.0353 |  9366226 |     423
   1370000 | 0.209 | 0.441 | 2000000 |   0.0353 |  9435110 |     416
   1380000 | 0.209 | 0.441 | 2000000 |   0.0352 |  9503951 |     426
   1390000 | 0.208 | 0.442 | 2000000 |   0.0351 |  9572812 |     429
   1400000 | 0.208 | 0.442 | 2000000 |   0.0352 |  9641676 |     429
   1410000 | 0.208 | 0.442 | 2000000 |   0.0351 |  9710543 |     437
   1420000 | 0.207 | 0.443 | 2000000 |   0.0353 |  9779419 |     435
   1430000 | 0.207 | 0.443 | 2000000 |   0.0352 |  9848296 |     428
   1440000 | 0.207 | 0.443 | 2000000 |   0.0351 |  9917158 |     424
   1450000 | 0.207 | 0.443 | 2000000 |   0.0349 |  9986035 |     422
   1460000 | 0.206 | 0.444 | 2000000 |   0.0348 | 10054912 |     425
   1470000 | 0.206 | 0.444 | 2000000 |   0.0351 | 10123767 |     425
   1480000 | 0.206 | 0.444 | 2000000 |   0.0350 | 10192647 |     425
   1490000 | 0.205 | 0.445 | 2000000 |   0.0353 | 10261529 |     429
   1500000 | 0.205 | 0.445 | 2000000 |   0.0351 | 10330394 |     431
  [SAVE] models/dmc_1500000.safetensors
   1510000 | 0.205 | 0.445 | 2000000 |   0.0349 | 10399256 |     422
   1520000 | 0.204 | 0.446 | 2000000 |   0.0350 | 10468130 |     425
   1530000 | 0.204 | 0.446 | 2000000 |   0.0348 | 10537001 |     420
   1540000 | 0.204 | 0.446 | 2000000 |   0.0347 | 10605867 |     426
   1550000 | 0.204 | 0.446 | 2000000 |   0.0349 | 10674741 |     427
   1560000 | 0.203 | 0.447 | 2000000 |   0.0344 | 10743608 |     433
   1570000 | 0.203 | 0.447 | 2000000 |   0.0343 | 10812486 |     433
   1580000 | 0.203 | 0.447 | 2000000 |   0.0343 | 10881354 |     423
   1590000 | 0.202 | 0.448 | 2000000 |   0.0344 | 10950222 |     440
   1600000 | 0.202 | 0.448 | 2000000 |   0.0343 | 11019096 |     435
   1610000 | 0.202 | 0.448 | 2000000 |   0.0342 | 11087950 |     454
   1620000 | 0.201 | 0.449 | 2000000 |   0.0340 | 11156819 |     447
   1630000 | 0.201 | 0.449 | 2000000 |   0.0341 | 11225682 |     447
   1640000 | 0.201 | 0.449 | 2000000 |   0.0344 | 11294548 |     427
   1650000 | 0.201 | 0.449 | 2000000 |   0.0343 | 11363421 |     411
   1660000 | 0.200 | 0.450 | 2000000 |   0.0343 | 11432276 |     425
   1670000 | 0.200 | 0.450 | 2000000 |   0.0337 | 11501146 |     432
   1680000 | 0.200 | 0.450 | 2000000 |   0.0342 | 11570002 |     427
   1690000 | 0.199 | 0.451 | 2000000 |   0.0338 | 11638870 |     426
   1700000 | 0.199 | 0.451 | 2000000 |   0.0341 | 11707740 |     430
   1710000 | 0.199 | 0.451 | 2000000 |   0.0341 | 11776599 |     431
   1720000 | 0.198 | 0.452 | 2000000 |   0.0339 | 11845465 |     416
   1730000 | 0.198 | 0.452 | 2000000 |   0.0337 | 11914350 |     427
   1740000 | 0.198 | 0.452 | 2000000 |   0.0338 | 11983206 |     426
   1750000 | 0.198 | 0.452 | 2000000 |   0.0340 | 12052070 |     433
   1760000 | 0.197 | 0.453 | 2000000 |   0.0340 | 12120943 |     429
   1770000 | 0.197 | 0.453 | 2000000 |   0.0336 | 12189825 |     426
   1780000 | 0.197 | 0.453 | 2000000 |   0.0335 | 12258670 |     425
   1790000 | 0.196 | 0.454 | 2000000 |   0.0334 | 12327559 |     423
   1800000 | 0.196 | 0.454 | 2000000 |   0.0338 | 12396411 |     423
   1810000 | 0.196 | 0.454 | 2000000 |   0.0335 | 12465300 |     426
   1820000 | 0.195 | 0.455 | 2000000 |   0.0334 | 12534175 |     425
   1830000 | 0.195 | 0.455 | 2000000 |   0.0336 | 12603038 |     421
   1840000 | 0.195 | 0.455 | 2000000 |   0.0332 | 12671910 |     425
   1850000 | 0.195 | 0.455 | 2000000 |   0.0333 | 12740795 |     428
   1860000 | 0.194 | 0.456 | 2000000 |   0.0331 | 12809663 |     427
   1870000 | 0.194 | 0.456 | 2000000 |   0.0332 | 12878546 |     426
   1880000 | 0.194 | 0.456 | 2000000 |   0.0332 | 12947412 |     418
   1890000 | 0.193 | 0.457 | 2000000 |   0.0331 | 13016290 |     421
   1900000 | 0.193 | 0.457 | 2000000 |   0.0325 | 13085155 |     447
   1910000 | 0.193 | 0.457 | 2000000 |   0.0327 | 13154032 |     441
   1920000 | 0.192 | 0.458 | 2000000 |   0.0325 | 13222908 |     437
   1930000 | 0.192 | 0.458 | 2000000 |   0.0328 | 13291768 |     409
   1940000 | 0.192 | 0.458 | 2000000 |   0.0325 | 13360632 |     420
   1950000 | 0.192 | 0.458 | 2000000 |   0.0325 | 13429513 |     439
   1960000 | 0.191 | 0.459 | 2000000 |   0.0323 | 13498368 |     434
   1970000 | 0.191 | 0.459 | 2000000 |   0.0322 | 13567220 |     433
   1980000 | 0.191 | 0.459 | 2000000 |   0.0323 | 13636100 |     442
   1990000 | 0.190 | 0.460 | 2000000 |   0.0326 | 13704966 |     438
   2000000 | 0.190 | 0.460 | 2000000 |   0.0322 | 13773835 |     440
  [EVAL] deals 68% | rand 91% (19s)
  [SAVE] models/dmc_2000000.safetensors
   2010000 | 0.190 | 0.460 | 2000000 |   0.0323 | 13842718 |     236
   2020000 | 0.189 | 0.461 | 2000000 |   0.0319 | 13911590 |     431
   2030000 | 0.189 | 0.461 | 2000000 |   0.0320 | 13980465 |     435
   2040000 | 0.189 | 0.461 | 2000000 |   0.0322 | 14049353 |     434
   2050000 | 0.189 | 0.461 | 2000000 |   0.0322 | 14118227 |     426
   2060000 | 0.188 | 0.462 | 2000000 |   0.0321 | 14187113 |     429
   2070000 | 0.188 | 0.462 | 2000000 |   0.0319 | 14255986 |     431
   2080000 | 0.188 | 0.462 | 2000000 |   0.0317 | 14324850 |     425
   2090000 | 0.187 | 0.463 | 2000000 |   0.0319 | 14393725 |     440
   2100000 | 0.187 | 0.463 | 2000000 |   0.0318 | 14462591 |     434
   2110000 | 0.187 | 0.463 | 2000000 |   0.0320 | 14531467 |     433
   2120000 | 0.186 | 0.464 | 2000000 |   0.0317 | 14600332 |     445
   2130000 | 0.186 | 0.464 | 2000000 |   0.0315 | 14669209 |     448
   2140000 | 0.186 | 0.464 | 2000000 |   0.0318 | 14738086 |     450
   2150000 | 0.186 | 0.464 | 2000000 |   0.0317 | 14806946 |     453
   2160000 | 0.185 | 0.465 | 2000000 |   0.0314 | 14875811 |     453
   2170000 | 0.185 | 0.465 | 2000000 |   0.0317 | 14944668 |     450
   2180000 | 0.185 | 0.465 | 2000000 |   0.0317 | 15013555 |     458
   2190000 | 0.184 | 0.466 | 2000000 |   0.0321 | 15082420 |     455
   2200000 | 0.184 | 0.466 | 2000000 |   0.0316 | 15151287 |     449
   2210000 | 0.184 | 0.466 | 2000000 |   0.0316 | 15220137 |     448
   2220000 | 0.183 | 0.467 | 2000000 |   0.0317 | 15289006 |     456
   2230000 | 0.183 | 0.467 | 2000000 |   0.0315 | 15357883 |     457
   2240000 | 0.183 | 0.467 | 2000000 |   0.0317 | 15426758 |     452
   2250000 | 0.183 | 0.467 | 2000000 |   0.0313 | 15495622 |     454
   2260000 | 0.182 | 0.468 | 2000000 |   0.0313 | 15564491 |     451
   2270000 | 0.182 | 0.468 | 2000000 |   0.0315 | 15633355 |     454
   2280000 | 0.182 | 0.468 | 2000000 |   0.0314 | 15702231 |     451
   2290000 | 0.181 | 0.469 | 2000000 |   0.0313 | 15771085 |     451
   2300000 | 0.181 | 0.469 | 2000000 |   0.0312 | 15839961 |     452
   2310000 | 0.181 | 0.469 | 2000000 |   0.0310 | 15908839 |     453
   2320000 | 0.180 | 0.470 | 2000000 |   0.0311 | 15977713 |     445
   2330000 | 0.180 | 0.470 | 2000000 |   0.0309 | 16046593 |     452
   2340000 | 0.180 | 0.470 | 2000000 |   0.0310 | 16115454 |     460
   2350000 | 0.180 | 0.470 | 2000000 |   0.0307 | 16184314 |     454
   2360000 | 0.179 | 0.471 | 2000000 |   0.0306 | 16253178 |     450
   2370000 | 0.179 | 0.471 | 2000000 |   0.0306 | 16322016 |     451
   2380000 | 0.179 | 0.471 | 2000000 |   0.0306 | 16390883 |     453
   2390000 | 0.178 | 0.472 | 2000000 |   0.0307 | 16459755 |     437
   2400000 | 0.178 | 0.472 | 2000000 |   0.0305 | 16528617 |     431
   2410000 | 0.178 | 0.472 | 2000000 |   0.0304 | 16597490 |     431
   2420000 | 0.177 | 0.473 | 2000000 |   0.0304 | 16666365 |     453
   2430000 | 0.177 | 0.473 | 2000000 |   0.0304 | 16735222 |     459
   2440000 | 0.177 | 0.473 | 2000000 |   0.0307 | 16804100 |     447
   2450000 | 0.177 | 0.473 | 2000000 |   0.0307 | 16872974 |     449
   2460000 | 0.176 | 0.474 | 2000000 |   0.0306 | 16941833 |     450
   2470000 | 0.176 | 0.474 | 2000000 |   0.0305 | 17010702 |     441
   2480000 | 0.176 | 0.474 | 2000000 |   0.0304 | 17079577 |     457
   2490000 | 0.175 | 0.475 | 2000000 |   0.0305 | 17148443 |     453
   2500000 | 0.175 | 0.475 | 2000000 |   0.0302 | 17217308 |     448
  [SAVE] models/dmc_2500000.safetensors
   2510000 | 0.175 | 0.475 | 2000000 |   0.0300 | 17286170 |     455
   2520000 | 0.174 | 0.476 | 2000000 |   0.0301 | 17355040 |     457
   2530000 | 0.174 | 0.476 | 2000000 |   0.0302 | 17423917 |     455
   2540000 | 0.174 | 0.476 | 2000000 |   0.0302 | 17492793 |     449
   2550000 | 0.174 | 0.476 | 2000000 |   0.0298 | 17561663 |     441
   2560000 | 0.173 | 0.477 | 2000000 |   0.0302 | 17630546 |     446
   2570000 | 0.173 | 0.477 | 2000000 |   0.0301 | 17699426 |     443
   2580000 | 0.173 | 0.477 | 2000000 |   0.0301 | 17768291 |     438
   2590000 | 0.172 | 0.478 | 2000000 |   0.0298 | 17837167 |     437
   2600000 | 0.172 | 0.478 | 2000000 |   0.0299 | 17906031 |     451
   2610000 | 0.172 | 0.478 | 2000000 |   0.0298 | 17974896 |     457
   2620000 | 0.171 | 0.479 | 2000000 |   0.0301 | 18043766 |     451
   2630000 | 0.171 | 0.479 | 2000000 |   0.0300 | 18112635 |     430
   2640000 | 0.171 | 0.479 | 2000000 |   0.0301 | 18181498 |     454
   2650000 | 0.171 | 0.479 | 2000000 |   0.0299 | 18250364 |     452
   2660000 | 0.170 | 0.480 | 2000000 |   0.0297 | 18319240 |     452
   2670000 | 0.170 | 0.480 | 2000000 |   0.0301 | 18388103 |     446
   2680000 | 0.170 | 0.480 | 2000000 |   0.0295 | 18456973 |     449
   2690000 | 0.169 | 0.481 | 2000000 |   0.0293 | 18525824 |     449
   2700000 | 0.169 | 0.481 | 2000000 |   0.0292 | 18594677 |     456
   2710000 | 0.169 | 0.481 | 2000000 |   0.0291 | 18663552 |     453
   2720000 | 0.168 | 0.482 | 2000000 |   0.0290 | 18732402 |     454
   2730000 | 0.168 | 0.482 | 2000000 |   0.0294 | 18801271 |     455
   2740000 | 0.168 | 0.482 | 2000000 |   0.0293 | 18870133 |     455
   2750000 | 0.168 | 0.482 | 2000000 |   0.0292 | 18938988 |     446
   2760000 | 0.167 | 0.483 | 2000000 |   0.0294 | 19007872 |     430
   2770000 | 0.167 | 0.483 | 2000000 |   0.0294 | 19076741 |     451
   2780000 | 0.167 | 0.483 | 2000000 |   0.0291 | 19145609 |     441
   2790000 | 0.166 | 0.484 | 2000000 |   0.0290 | 19214492 |     442
   2800000 | 0.166 | 0.484 | 2000000 |   0.0291 | 19283354 |     447
   2810000 | 0.166 | 0.484 | 2000000 |   0.0290 | 19352218 |     440
   2820000 | 0.165 | 0.485 | 2000000 |   0.0294 | 19421092 |     439
   2830000 | 0.165 | 0.485 | 2000000 |   0.0292 | 19489958 |     450
   2840000 | 0.165 | 0.485 | 2000000 |   0.0291 | 19558833 |     449
   2850000 | 0.165 | 0.485 | 2000000 |   0.0290 | 19627714 |     445
   2860000 | 0.164 | 0.486 | 2000000 |   0.0284 | 19696595 |     453
   2870000 | 0.164 | 0.486 | 2000000 |   0.0286 | 19765449 |     440
   2880000 | 0.164 | 0.486 | 2000000 |   0.0290 | 19834308 |     446
   2890000 | 0.163 | 0.487 | 2000000 |   0.0285 | 19903170 |     434
   2900000 | 0.163 | 0.487 | 2000000 |   0.0289 | 19972045 |     408
   2910000 | 0.163 | 0.487 | 2000000 |   0.0290 | 20040918 |     436
   2920000 | 0.162 | 0.488 | 2000000 |   0.0288 | 20109794 |     453
   2930000 | 0.162 | 0.488 | 2000000 |   0.0286 | 20178665 |     441
   2940000 | 0.162 | 0.488 | 2000000 |   0.0287 | 20247530 |     458
   2950000 | 0.162 | 0.488 | 2000000 |   0.0285 | 20316399 |     430
   2960000 | 0.161 | 0.489 | 2000000 |   0.0288 | 20385280 |     443
   2970000 | 0.161 | 0.489 | 2000000 |   0.0283 | 20454141 |     455
   2980000 | 0.161 | 0.489 | 2000000 |   0.0284 | 20523006 |     432
   2990000 | 0.160 | 0.490 | 2000000 |   0.0284 | 20591872 |     441
   3000000 | 0.160 | 0.490 | 2000000 |   0.0282 | 20660731 |     440
  [EVAL] deals 69% | rand 95% (19s)
  [SAVE] models/dmc_3000000.safetensors
   3010000 | 0.160 | 0.490 | 2000000 |   0.0282 | 20729598 |     239
   3020000 | 0.159 | 0.491 | 2000000 |   0.0282 | 20798456 |     449
   3030000 | 0.159 | 0.491 | 2000000 |   0.0281 | 20867328 |     436
   3040000 | 0.159 | 0.491 | 2000000 |   0.0281 | 20936197 |     443
   3050000 | 0.159 | 0.491 | 2000000 |   0.0281 | 21005073 |     444
   3060000 | 0.158 | 0.492 | 2000000 |   0.0282 | 21073928 |     437
   3070000 | 0.158 | 0.492 | 2000000 |   0.0280 | 21142811 |     445
   3080000 | 0.158 | 0.492 | 2000000 |   0.0282 | 21211686 |     431
   3090000 | 0.157 | 0.493 | 2000000 |   0.0276 | 21280541 |     442
   3100000 | 0.157 | 0.493 | 2000000 |   0.0282 | 21349421 |     436
   3110000 | 0.157 | 0.493 | 2000000 |   0.0279 | 21418301 |     434
   3120000 | 0.156 | 0.494 | 2000000 |   0.0280 | 21487165 |     445
   3130000 | 0.156 | 0.494 | 2000000 |   0.0280 | 21556010 |     441
   3140000 | 0.156 | 0.494 | 2000000 |   0.0283 | 21624892 |     452
